phrase,sentances,,,,,,,,,,,,,,,,,,,
nearly constant time per retrieval,Hash functions and their associated hash tables are used in data storage and retrieval applications to access data in a small and nearly constant time per retrieval.,,,,,,,,,,,,,,,,,,,
intolerably bad,"Use of hash functions relies on statistical properties of key and function interaction: worst-case behaviour is intolerably bad with a vanishingly small probability, and average-case behaviour can be nearly optimal (minimal collision).",,,,,,,,,,,,,,,,,,,
often confused,"Hash functions are related to (and often confused with) checksums, check digits, fingerprints, lossy compression, randomization functions, error-correcting codes, and ciphers.",,,,,,,,,,,,,,,,,,,
may improve,"In artificial intelligence, an intelligent agent (IA) is anything which perceives its environment, takes actions autonomously in order to achieve goals, and may improve its performance with learning or may use knowledge.",,,,,,,,,,,,,,,,,,,
may use knowledge,"In artificial intelligence, an intelligent agent (IA) is anything which perceives its environment, takes actions autonomously in order to achieve goals, and may improve its performance with learning or may use knowledge.",,,,,,,,,,,,,,,,,,,
achieve goals,"In artificial intelligence, an intelligent agent (IA) is anything which perceives its environment, takes actions autonomously in order to achieve goals, and may improve its performance with learning or may use knowledge.",,,,,,,,,,,,,,,,,,,
many interdisciplinary socio,"Intelligent agents in artificial intelligence are closely related to agents in economics, and versions of the intelligent agent paradigm are studied in cognitive science, ethics, the philosophy of practical reason, as well as in many interdisciplinary socio-cognitive modeling and computer social simulations.",,,,,,,,,,,,,,,,,,,
closely related,"Automata theory is closely related to formal language theory. !! In the philosophy of decision theory, Bayesian inference is closely related to subjective probability, often called ""Bayesian probability"". !! Type theory is closely related to, and in some cases overlaps with, type systems, which are a programming language feature used to reduce bugs and facilitate certain compiler optimizations. !! Human-centered computing is closely related to human-computer interaction and information science. !! Parallel programming models are closely related to models of computation. !! Spectral methods and finite element methods are closely related and built on the same ideas; the main difference between them is that spectral methods use basis functions that are nonzero over the whole domain, while finite element methods use basis functions that are nonzero only on small subdomains. !! The generalized Shanks transformation is closely related to Pad approximants and Pad tables. !! Mathematical induction in this extended sense is closely related to recursion. !! Many of these techniques are based on established best-practices employed to efficiently route traffic at the network layer including redundancy and load balancing In theory, an Application Delivery Network (ADN) is closely related to a content delivery network. !! The longest increasing subsequence problem is closely related to the longest common subsequence problem, which has a quadratic time dynamic programming solution: the longest increasing subsequence of a sequence S is the longest common subsequence of S and T, where T is the result of sorting S. However, for the special case in which the input is a permutation of the integers 1, 2, . !! Similarity learning is closely related to distance metric learning. !! Intelligent agents in artificial intelligence are closely related to agents in economics, and versions of the intelligent agent paradigm are studied in cognitive science, ethics, the philosophy of practical reason, as well as in many interdisciplinary socio-cognitive modeling and computer social simulations.",,,,,,,,,,,,,,,,,,,
practical reason,"The concept of rational agents can be found in various disciplines such as artificial intelligence, cognitive science, decision theory, economics, ethics, game theory, and the study of practical reason. !! Intelligent agents in artificial intelligence are closely related to agents in economics, and versions of the intelligent agent paradigm are studied in cognitive science, ethics, the philosophy of practical reason, as well as in many interdisciplinary socio-cognitive modeling and computer social simulations.",,,,,,,,,,,,,,,,,,,
often described schematically,Intelligent agents are often described schematically as an abstract functional system similar to a computer program.,,,,,,,,,,,,,,,,,,,
