IfCS,Phrase,Correct,Probablity,Attention
1,sandstorm hash,,0.592063606,"0.05736802890896797, 0.5283085703849792, 0.13413412868976593, 0.13100017607212067, 0.14918914437294006"
0,size computation,,0.517172337,"0.15018349885940552, 0.00149077782407403, 0.32530468702316284, 0.26734185218811035, 0.255679190158844"
1,linear equality,,0.619638145,"7.1876779657031875e-06, 0.6034433841705322, 0.21268706023693085, 0.11091118305921555, 0.07295121997594833"
0,order functions,,0.537721157,"0.38683730363845825, 0.016728736460208893, 0.34100276231765747, 0.1553642898797989, 0.10006693005561829"
0,computer methods,,0.715657055,"0.00031444942578673363, 0.05591044947504997, 0.28910738229751587, 0.32948851585388184, 0.32517921924591064"
1,normalized compression distance,,0.627902329,"0.00361610553227365, 0.00012384966248646379, 0.003500246675685048, 0.34948015213012695, 0.6432796120643616"
1,uniqueness theorem,,0.548378468,"0.0052973986603319645, 0.040101565420627594, 0.5265124440193176, 0.25184929370880127, 0.17623940110206604"
0,value distribution,,0.536727786,"0.48111116886138916, 0.022829128429293633, 0.18058039247989655, 0.15291260182857513, 0.16256678104400635"
1,topos theory,,0.527874649,"0.003980790730565786, 0.0012349151074886322, 0.21738244593143463, 0.3324858844280243, 0.4449159801006317"
1,asymptotically efficient multiplication algorithm,,0.530659556,"0.0009094630368053913, 0.005246746353805065, 0.07599961012601852, 0.022296948358416557, 0.8955472111701965"
1,syntactic transformations,,0.573096633,"0.0026779393665492535, 0.0027502565644681454, 0.35676485300064087, 0.3378694951534271, 0.2999373972415924"
0,computer programming tasks,,0.636062324,"6.0552327340701595e-05, 4.1371302359038964e-05, 0.7483214735984802, 0.17210432887077332, 0.07947223633527756"
1,discrete mathematics,,0.566990554,"0.0005782200023531914, 0.07840163260698318, 0.5637403726577759, 0.2210414707660675, 0.13623829185962677"
0,conquer algorithm,,0.627839148,"0.014485576190054417, 0.008581130765378475, 0.48529189825057983, 0.2786717116832733, 0.21296973526477814"
0,primitive recursive,,0.561997712,"0.005690190941095352, 0.10613347589969635, 0.37969425320625305, 0.2645557224750519, 0.2439263015985489"
1,sparse approximation,,0.516863406,"6.792346539441496e-05, 0.001906733843497932, 0.24352698028087616, 0.3367604613304138, 0.4177379012107849"
0,nervous system,,0.637858212,"0.032126810401678085, 0.00900100264698267, 0.20032458007335663, 0.3231774568557739, 0.4353701174259186"
1,clipper processors,,0.575646758,"0.34107130765914917, 0.028454257175326347, 0.1337210088968277, 0.20985503494739532, 0.2868983745574951"
0,model sequences,,0.672177851,"0.0006206422694958746, 0.23048964142799377, 0.3237500786781311, 0.23171232640743256, 0.2134273797273636"
1,matrix algorithms,,0.926502526,"7.492690201615915e-05, 0.007325165905058384, 0.42655763030052185, 0.3310040831565857, 0.23503823578357697"
0,fuzzy logica mathematical system,fuzzy logic mathematical model,0.839047432,"0.004291973542422056, 0.001791537506505847, 0.3412390351295471, 0.07543381303548813, 0.5772436857223511"
0,immersive design,,0.602721751,"0.0020445566624403, 0.12722709774971008, 0.3444758355617523, 0.2864549458026886, 0.23979759216308594"
0,dimensional complexity theory,,0.709266663,"0.0002846405259333551, 0.0006704996922053397, 0.00643691373988986, 0.5240913033485413, 0.46851664781570435"
0,order logics,higher-order logics,0.561526179,"0.9489694237709045, 0.0025102728977799416, 0.02232755720615387, 0.014170468784868717, 0.012022283859550953"
1,matrix multiplication,,0.538364172,"1.6321420844178647e-05, 0.5802245736122131, 0.29382023215293884, 0.08351254463195801, 0.04242635518312454"
0,data retrieval operations,,0.659236193,"0.00030828011222183704, 0.0020990062039345503, 0.5464619994163513, 0.30844828486442566, 0.14268234372138977"
0,matrix analysis,,0.88322556,"7.282967999344692e-05, 0.0133935222402215, 0.37049174308776855, 0.3374972939491272, 0.2785446345806122"
0,inverse direction,,0.555460155,"0.00036505036405287683, 0.08296552300453186, 0.5314281582832336, 0.24576523900032043, 0.13947603106498718"
1,beta encoder,,0.590187848,"0.0026070247404277325, 0.0010165870189666748, 0.14079982042312622, 0.3277577757835388, 0.5278188586235046"
0,entropy method,,0.547233701,"1.8118753359885886e-05, 0.06573359668254852, 0.34345632791519165, 0.30645987391471863, 0.28433215618133545"
0,euclidean division,,0.518450201,"0.009467842057347298, 0.22444629669189453, 0.3295093774795532, 0.2294149398803711, 0.20716163516044617"
0,oriented decomposition,,0.575873494,"0.03743642941117287, 0.0034271760378032923, 0.35337549448013306, 0.3198554813861847, 0.2859053611755371"
0,digital circuits,,0.657478094,"0.004742546007037163, 0.0090417992323637, 0.3131048381328583, 0.3461788296699524, 0.3269319236278534"
0,mathematical framework,,0.58754462,"0.009600563906133175, 0.042426321655511856, 0.30300384759902954, 0.322937935590744, 0.32203131914138794"
1,homotopy invariant,,0.763839543,"0.001953813945874572, 0.0020588519982993603, 0.37523406744003296, 0.3209281265735626, 0.29982516169548035"
1,batch processing,,0.547237933,"0.7546483874320984, 0.0012203415390104055, 0.09016893059015274, 0.07678399235010147, 0.07717834413051605"
0,theorem  computer science,,0.737313151,"0.012314007617533207, 0.08019352704286575, 0.0008526686578989029, 0.09062694013118744, 0.8160128593444824"
0,based learning,,0.58545661,"0.09472756832838058, 0.017653973773121834, 0.3994196355342865, 0.2633777856826782, 0.22482100129127502"
0,range coding,,0.623950601,"0.001066587632521987, 0.00041691563092172146, 0.21334590017795563, 0.34881117939949036, 0.4363594055175781"
0,core processor,,0.794522285,"0.014567514881491661, 0.02506870962679386, 0.15805327892303467, 0.31729260087013245, 0.48501792550086975"
0,time algorithm,,0.851753533,"0.0018755615456029773, 0.0103093096986413, 0.4977377951145172, 0.2939922511577606, 0.19608503580093384"
0,computationally intelligent,,0.884120464,"0.00016586409765295684, 0.022997844964265823, 0.35381844639778137, 0.3338523209095001, 0.2891654968261719"
0,google code,,0.628017902,"0.008667760528624058, 0.0007043725345283747, 0.1867053508758545, 0.35162046551704407, 0.4523019790649414"
0,logical structure,,0.528817058,"0.21192149817943573, 0.03316102176904678, 0.29947930574417114, 0.2372632473707199, 0.21817496418952942"
0,ai alignment,,0.597672284,"0.012873233295977116, 0.31766074895858765, 0.3438243567943573, 0.18896374106407166, 0.13667795062065125"
0,instruction execution time,,0.678474903,"0.00018296869529876858, 0.008458519354462624, 0.12894360721111298, 0.5888465642929077, 0.273568332195282"
0,visual correlation,,0.755217731,"0.005238789599388838, 0.08433765172958374, 0.4373626112937927, 0.27223706245422363, 0.20082378387451172"
0,compression rate,,0.51404202,"4.0140352211892605e-05, 0.007103464566171169, 0.26108428835868835, 0.344235897064209, 0.3875361680984497"
0,efficient algorithms,,0.640223622,"0.0098339281976223, 0.005546058062463999, 0.4006403684616089, 0.30655261874198914, 0.27742698788642883"
0,matrix structures,,0.602110028,"3.677553104353137e-05, 0.009488091804087162, 0.40101245045661926, 0.3326813876628876, 0.25678133964538574"
0,tolerant networking algorithms,,0.654083967,"0.02208758518099785, 0.00014011914026923478, 0.0035062707029283047, 0.44821909070014954, 0.5260469913482666"
0,displaying data,,0.504079759,"0.03196144104003906, 0.0511297732591629, 0.38569095730781555, 0.2755688726902008, 0.25564897060394287"
0,expression computational intelligence,,0.910636306,"0.0019712697248905897, 0.0005060749826952815, 0.005622934550046921, 0.5717248916625977, 0.42017486691474915"
0,exact function,,0.534719467,"0.34735459089279175, 0.015736881643533707, 0.3985736668109894, 0.14964909851551056, 0.0886857658624649"
0,technology intelligence branches,,0.788995624,"0.007313545327633619, 0.0008673982811160386, 0.00509056868031621, 0.4769807457923889, 0.5097477436065674"
0,bit mips processors,,0.514531493,"0.6709518432617188, 0.05598129704594612, 0.019808903336524963, 0.10463847219944, 0.14861956238746643"
0,matrix splitting,,0.584866166,"0.00015698367496952415, 0.21574236452579498, 0.3587862253189087, 0.23673707246780396, 0.18857736885547638"
0,recursively subdividing,,0.727855146,"0.0047283475287258625, 0.028236839920282364, 0.3512084484100342, 0.31054356694221497, 0.30528274178504944"
0,floppy disk,,0.5410887,"0.7683522701263428, 0.1111176609992981, 0.026761434972286224, 0.03917368873953819, 0.05459495261311531"
0,virtual world,,0.525800109,"0.002717000665143132, 0.33691030740737915, 0.24881522357463837, 0.20813538134098053, 0.20342206954956055"
0,lazy learning systems,,0.786434412,"0.00039313468732871115, 0.003964392002671957, 0.024440938606858253, 0.4755435287952423, 0.4956579804420471"
0,logical security boundaries,,0.552041948,"0.16207942366600037, 0.009244406595826149, 0.004103685729205608, 0.4106234908103943, 0.41394904255867004"
0,information technologysystems designsoftware design descriptions,,0.558755398,"0.00029895271291024983, 3.2089817977976054e-05, 0.003397975815460086, 0.025737613439559937, 0.9705333709716797"
1,software vulnerabilities,,0.874174833,"0.002116831950843334, 0.002080661477521062, 0.17649607360363007, 0.3392997086048126, 0.48000678420066833"
