Phrase,Probablity,Attention
highly correlated,0.043060243129730225,"0.9979, 0.0020, 0.0001, 0.0000, 0.0000"
decimal computers,0.42549023032188416,"0.0552, 0.9305, 0.0112, 0.0024, 0.0008"
support vectors,0.2997118830680847,"0.0325, 0.0028, 0.5407, 0.2820, 0.1420"
algebraic theories,0.33056169748306274,"0.0760, 0.2267, 0.4478, 0.1644, 0.0850"
public key encryption models,0.04756903648376465,"0.6950, 0.3046, 0.0003, 0.0000, 0.0001"
fully connected layers,0.038246721029281616,"0.9953, 0.0014, 0.0027, 0.0005, 0.0001"
random indexing,0.36300140619277954,"0.0001, 0.0173, 0.5829, 0.2898, 0.1100"
digital transmission,0.4494003653526306,"0.3799, 0.4961, 0.0545, 0.0396, 0.0299"
main functions,0.4215058386325836,"0.1957, 0.0015, 0.4692, 0.2029, 0.1307"
distributed data stores,0.4279838502407074,"0.0006, 0.0083, 0.6662, 0.2086, 0.1163"
information interchange,0.3788530230522156,"0.0514, 0.3354, 0.2866, 0.1578, 0.1689"
loop body,0.3047548234462738,"0.0001, 0.8742, 0.0445, 0.0367, 0.0445"
abstract data types,0.2381996214389801,"0.0000, 0.0009, 0.9814, 0.0143, 0.0034"
python package,0.48670023679733276,"0.2223, 0.0483, 0.2562, 0.2285, 0.2447"
speech tagging,0.34774547815322876,"0.0057, 0.0129, 0.5661, 0.2746, 0.1407"
composition filters,0.499761164188385,"0.4977, 0.0171, 0.1606, 0.1559, 0.1686"
random access,0.42431044578552246,"0.0475, 0.1728, 0.3197, 0.2484, 0.2116"
adaptive filters,0.49019864201545715,"0.0008, 0.0054, 0.1896, 0.3629, 0.4413"
standard sigmoid functions,0.4120934009552002,"0.4055, 0.0015, 0.0008, 0.3759, 0.2163"
ecb mode,0.17665371298789978,"0.9894, 0.0079, 0.0017, 0.0007, 0.0003"
modulo scheduling,0.4941824674606323,"0.1772, 0.2998, 0.2318, 0.1606, 0.1305"
incidence matrix,0.26176613569259644,"0.9113, 0.0001, 0.0287, 0.0264, 0.0335"
factor approximations,0.42932000756263733,"0.6136, 0.1398, 0.1575, 0.0577, 0.0314"
attention mechanisms,0.017023563385009766,"0.8832, 0.0737, 0.0314, 0.0082, 0.0036"
eigenmode expansion,0.47283703088760376,"0.0504, 0.0266, 0.2933, 0.3172, 0.3125"
code points,0.1661185920238495,"0.0000, 0.8254, 0.0984, 0.0505, 0.0257"
rayleigh quotient,0.4029180705547333,"0.0118, 0.0181, 0.5219, 0.2689, 0.1793"
successive parabolic interpolation,0.43100738525390625,"0.0511, 0.0279, 0.0074, 0.5189, 0.3947"
file exchange protocol,0.19088613986968994,"0.9916, 0.0064, 0.0002, 0.0009, 0.0010"
comparison sorts,0.19921129941940308,"0.0968, 0.7722, 0.1137, 0.0138, 0.0035"
point distribution model,0.26378196477890015,"0.9749, 0.0180, 0.0022, 0.0033, 0.0016"
double-ended priority queue,0.05552583932876587,"0.7892, 0.0840, 0.0320, 0.0717, 0.0231"
mobile ad hoc networks,0.1099984347820282,"0.0212, 0.0579, 0.8946, 0.0152, 0.0111"
quantum mechanics,0.2089681327342987,"0.0032, 0.4292, 0.4180, 0.1180, 0.0315"
k nearest neighbors,0.059952497482299805,"0.2677, 0.6980, 0.0085, 0.0243, 0.0015"
typed lambda calculus,0.4091295599937439,"0.3616, 0.0001, 0.0054, 0.2931, 0.3398"
clock cycle,0.11167445778846741,"0.0411, 0.9190, 0.0355, 0.0037, 0.0007"
functional presence engines,0.15467795729637146,"0.0000, 0.0230, 0.9753, 0.0015, 0.0001"
operating systems,0.26204556226730347,"0.9964, 0.0001, 0.0009, 0.0010, 0.0015"
ip address,0.45912379026412964,"0.0393, 0.0749, 0.3047, 0.2783, 0.3028"
mathematical formula,0.12083303928375244,"0.0001, 0.9245, 0.0707, 0.0043, 0.0003"
image search tool,0.47035712003707886,"0.0011, 0.1997, 0.5079, 0.2291, 0.0622"
child nodes,0.4757128059864044,"0.0041, 0.0154, 0.6484, 0.2264, 0.1057"
speech signals,0.22426575422286987,"0.2933, 0.6103, 0.0654, 0.0201, 0.0109"
