IfCS,Phrase,Correct,Probablity,Attention,Distance
1,neurocomputational speech processing,,0.9578623175621033,"0.2241, 0.2241, 0.2184, 0.2454, 0.0880",0.7381908297538757
1,raspberry pi,,0.6444881558418274,"0.2378, 0.2378, 0.2378, 0.0617, 0.2249",0.8317938297986984
1,graph polynomial,,0.9870579242706299,"0.2416, 0.2416, 0.2416, 0.1349, 0.1402",0.8128493279218674
1,kernel function,,1.0708675384521484,"0.2418, 0.2418, 0.2418, 0.2025, 0.0722",0.8845811635255814
1,spectral methods,,0.5547106862068176,"0.2374, 0.2374, 0.2374, 0.2135, 0.0744",0.9304465502500534
1,correlation network,,0.8157092928886414,"0.2438, 0.2438, 0.2438, 0.0764, 0.1923",0.7460561096668243
1,bayes network,,0.7300382852554321,"0.2333, 0.2333, 0.2333, 0.1363, 0.1637",0.7887977957725525
1,parallel computing,,0.8251888751983643,"0.2431, 0.2431, 0.2431, 0.2031, 0.0676",0.5392701029777527
1,systems architecture,,0.5168846249580383,"0.2277, 0.2277, 0.2277, 0.1456, 0.1713",0.4922088384628296
1,vector machine models,,0.865542471408844,"0.2432, 0.2432, 0.2166, 0.1853, 0.1116",0.7458483278751373
1,modal interpretations,,0.5330001711845398,"0.2151, 0.2151, 0.2151, 0.1854, 0.1694",0.907476082444191
1,evaluate computer software,,0.6950482726097107,"0.2487, 0.2487, 0.2281, 0.1494, 0.1251",0.42213892936706543
1,statistical language model,,0.8385631442070007,"0.2377, 0.2377, 0.1747, 0.2070, 0.1429",0.6506920158863068
1,natural language processing,,0.8853575587272644,"0.2402, 0.2402, 0.2045, 0.2002, 0.1148",0.6512101888656616
1,linear bayesian svm,,1.085669994354248,"0.2471, 0.2471, 0.2060, 0.1943, 0.1056",0.8521299213171005
1,input signal,,0.6965714693069458,"0.2208, 0.2208, 0.2208, 0.1831, 0.1546",0.7930375635623932
1,random projection,,0.6020025610923767,"0.2187, 0.2187, 0.2187, 0.1572, 0.1866",0.835306242108345
1,internet protocol suite,,0.7663387060165405,"0.2468, 0.2468, 0.0543, 0.2210, 0.2310",0.7040789723396301
1,human learning,,0.5085163712501526,"0.2224, 0.2224, 0.2224, 0.2148, 0.1179",0.7032551169395447
