IfCS,Phrase,Correct,Probablity,Attention,Distance
1,evolution strategies,,0.07196030020713806,"0.2032, 0.2032, 0.2032, 0.2259, 0.1645",0.7387398183345795
1,genetic representations,,0.44118767976760864,"0.2248, 0.2248, 0.2248, 0.1480, 0.1776",0.7971192598342896
1,automated space docking,,0.40590396523475647,"0.2435, 0.2435, 0.1175, 0.1982, 0.1973",0.7565741240978241
1,garbage collection,,0.3186701834201813,"0.2290, 0.2290, 0.2290, 0.1337, 0.1793",0.7780427634716034
1,logical unit,,0.40618327260017395,"0.2101, 0.2101, 0.2101, 0.1619, 0.2078",0.7795663326978683
1,structured svm,,0.49825185537338257,"0.2299, 0.2299, 0.2299, 0.2016, 0.1086",0.7335398197174072
1,abstract machines,,0.41474705934524536,"0.2164, 0.2164, 0.2164, 0.1919, 0.1590",0.5709852874279022
1,hamming distance,,0.1256011426448822,"0.1787, 0.1787, 0.1787, 0.2255, 0.2384",0.8256139308214188
1,speech tagging,,0.06868880987167358,"0.1711, 0.1711, 0.1711, 0.2469, 0.2398",0.9766284786164761
1,child nodes,,0.4268999993801117,"0.2147, 0.2147, 0.2147, 0.1466, 0.2093",0.9746012669056654
1,adjacency list,,0.3804406225681305,"0.2222, 0.2222, 0.2222, 0.1688, 0.1647",0.8822083249688148
1,size computation,,0.4080650508403778,"0.2087, 0.2087, 0.2087, 0.2271, 0.1469",0.6401002705097198
1,parsimonious reductions,,0.20780977606773376,"0.1994, 0.1994, 0.1994, 0.2088, 0.1930",0.8886450976133347
1,reduction systems,,0.24896493554115295,"0.2189, 0.2189, 0.2189, 0.2217, 0.1217",0.7506159991025925
1,division multiplexing,,0.24688956141471863,"0.2072, 0.2072, 0.2072, 0.2216, 0.1567",0.8260119259357452
1,operating system,,0.40126579999923706,"0.2341, 0.2341, 0.2341, 0.1230, 0.1747",0.6549340486526489
1,ip address pool,,0.43583807349205017,"0.2328, 0.2328, 0.1023, 0.1972, 0.2348",0.899247832596302
1,abstract data types,,0.38952624797821045,"0.2409, 0.2409, 0.2308, 0.1107, 0.1767",0.7687803506851196
1,fully connected layers,,0.10135896503925323,"0.2411, 0.2411, 0.1301, 0.1493, 0.2385",0.9060674831271172
1,functional presence engines,,0.1874977946281433,"0.2337, 0.2337, 0.2042, 0.1731, 0.1553",0.6342441737651825
1,local minima,,0.15292182564735413,"0.1822, 0.1822, 0.1822, 0.2416, 0.2118",0.9134656116366386
1,floor space,,0.28912585973739624,"0.1942, 0.1942, 0.1942, 0.1976, 0.2197",0.8155344575643539
1,dimensional real vector,,0.4085530936717987,"0.2348, 0.2348, 0.2182, 0.1791, 0.1330",0.913958877325058
1,nm matrix,,0.46979212760925293,"0.2045, 0.2045, 0.2045, 0.1973, 0.1893",0.9108942151069641
1,characteristic polynomial,,0.46773549914360046,"0.2355, 0.2355, 0.2355, 0.1506, 0.1430",0.8102921396493912
1,priority queue based data structure,,0.423615425825119,"0.2453, 0.2419, 0.1792, 0.1036, 0.2302",0.7958555370569229
1,statistical mechanics,,0.373543918132782,"0.2167, 0.2167, 0.2167, 0.1149, 0.2351",0.7010880410671234
1,linear combinations,,0.2240319550037384,"0.2429, 0.2429, 0.2429, 0.1827, 0.0885",0.9383814260363579
1,main stack register,,0.47405919432640076,"0.2469, 0.2469, 0.1424, 0.1498, 0.2139",0.8243567496538162
1,scientific study,,0.16680438816547394,"0.2186, 0.2186, 0.2186, 0.1930, 0.1513",0.48096370697021484
1,matroid problems,,0.30597057938575745,"0.2230, 0.2230, 0.2230, 0.1668, 0.1641",0.9988733903737739
1,enhanced double hashing,,0.06815765798091888,"0.2177, 0.2177, 0.1121, 0.2341, 0.2184",0.9204500019550323
1,time delays,,0.39342832565307617,"0.2240, 0.2240, 0.2240, 0.1451, 0.1829",0.8472709953784943
1,plane sweep,,0.3220917582511902,"0.2082, 0.2082, 0.2082, 0.2354, 0.1400",0.877670057117939
1,hardware technologies,,0.33475643396377563,"0.2364, 0.2364, 0.2364, 0.1769, 0.1140",0.4611091613769531
1,radix sort,,0.28038766980171204,"0.1924, 0.1924, 0.1924, 0.2142, 0.2086",0.8790292665362358
1,gaming systems,,0.2629653513431549,"0.2159, 0.2159, 0.2159, 0.1821, 0.1704",0.56203892827034
1,phase distinction,,0.0,"0.2206, 0.2206, 0.2206, 0.2358, 0.1023",0.9287430346012115
1,entropy calculations,,0.3283872604370117,"0.1963, 0.1963, 0.1963, 0.2232, 0.1880",0.8029078096151352
1,combinatorial optimization problems,,0.23050609230995178,"0.2384, 0.2384, 0.2154, 0.2018, 0.1060",0.8471431881189346
1,logical calculi,,0.2726074755191803,"0.2258, 0.2258, 0.2258, 0.1727, 0.1498",0.8086384236812592
1,bernstein polynomial,,0.4062947630882263,"0.2228, 0.2228, 0.2228, 0.1784, 0.1533",0.8610323965549469
1,joint density,,0.2981227934360504,"0.1984, 0.1984, 0.1984, 0.1798, 0.2250",0.9324682131409645
1,least linear,,0.40768957138061523,"0.2204, 0.2204, 0.2204, 0.2092, 0.1296",0.8712161779403687
1,dimensional optimization problem,,0.27654242515563965,"0.2372, 0.2372, 0.2199, 0.1992, 0.1066",0.9346595704555511
1,imperative quantum programming languages,,0.466591477394104,"0.2376, 0.1958, 0.2372, 0.1883, 0.1412",0.6957063376903534
1,flowers method,,0.3838321268558502,"0.2319, 0.2319, 0.2319, 0.1912, 0.1130",0.9956754818558693
1,logical variables,,0.33582720160484314,"0.2380, 0.2380, 0.2380, 0.2044, 0.0817",0.9097379222512245
1,chi-square automatic interaction detection,,0.3296337425708771,"0.2350, 0.2416, 0.1850, 0.2291, 0.1092",0.797818586230278
1,machine ethics,,0.42596742510795593,"0.2294, 0.2294, 0.2294, 0.1394, 0.1723",0.6373469829559326
1,pigeonhole sort,,0.23234422504901886,"0.1870, 0.1870, 0.1870, 0.2363, 0.2029",0.9862829009070992
1,maximum likelihood,,0.24037766456604004,"0.1967, 0.1967, 0.1967, 0.2447, 0.1653",0.8571568429470062
1,ram usage,,0.216998890042305,"0.2263, 0.2263, 0.2263, 0.1838, 0.1373",0.7802511751651764
1,dma attacks,,0.39232537150382996,"0.2281, 0.2281, 0.2281, 0.0859, 0.2297",0.8683241456747055
1,amdahl's law,,0.06693445146083832,"0.1881, 0.1881, 0.1881, 0.2064, 0.2292",0.9632447473704815
1,acoustic model,,0.25869956612586975,"0.1895, 0.1895, 0.1895, 0.2416, 0.1898",0.7901722341775894
1,systems engineering,,0.24965232610702515,"0.2333, 0.2333, 0.2333, 0.1808, 0.1192",0.4601204991340637
1,Singleton pattern,,0.476550430059433,"0.2208, 0.2208, 0.2208, 0.2114, 0.1261",0.9980960543034598
1,medical imaging,,0.0,"0.2200, 0.2200, 0.2200, 0.1058, 0.2341",0.7719188630580902
1,computationally intractable,,0.0,"0.2260, 0.2260, 0.2260, 0.1894, 0.1325",0.6777459681034088
1,polynomial sequences,,0.443399041891098,"0.2393, 0.2393, 0.2393, 0.1901, 0.0920",0.8800050690770149
1,membership function,,0.45591306686401367,"0.2166, 0.2166, 0.2166, 0.1910, 0.1594",0.8983199223876
1,probability density proportional,,0.4929380416870117,"0.2248, 0.2248, 0.2381, 0.2246, 0.0877",0.8371136039495468
1,traditional convolutional layers,,0.37904128432273865,"0.2280, 0.2280, 0.2253, 0.1301, 0.1887",0.8846034035086632
1,audit trail records,,0.0018687285482883453,"0.2432, 0.2432, 0.1117, 0.1977, 0.2041",0.84254589676857
1,resizable array,,0.40375515818595886,"0.2246, 0.2246, 0.2246, 0.1827, 0.1437",0.9587380066514015
