IfCS,Phrase,Correct,Probablity,Attention,Distance
0,different topics,,0.0,"0.2044, 0.2044, 0.2044, 0.1699, 0.2169",0.6698704659938812
0,particular np,,0.0,"0.2224, 0.2224, 0.2224, 0.1068, 0.2260",0.8670363575220108
0,point numbers,,0.1025351732969284,"0.1969, 0.1969, 0.1969, 0.2097, 0.1995",0.8743121922016144
0,time genetic algorithms within,,0.0,"0.2473, 0.2373, 0.2275, 0.2229, 0.0651",0.7649659067392349
0,ordered pairs,,0.0558738075196743,"0.1926, 0.1926, 0.1926, 0.2255, 0.1966",0.9709129706025124
0,issues led,,0.0,"0.2401, 0.2401, 0.2401, 0.1738, 0.1060",0.8301455080509186
0,first coefficient,,0.08981990814208984,"0.1995, 0.1995, 0.1995, 0.1989, 0.2025",0.905108630657196
0,take hold,,0.0,"0.1916, 0.1916, 0.1916, 0.1870, 0.2381",0.9683378748595715
0,less writing,,0.0,"0.1945, 0.1945, 0.1945, 0.2357, 0.1807",0.8215824514627457
0,intelligent foraging behaviour,,0.2572864592075348,"0.1924, 0.1924, 0.1932, 0.2303, 0.1918",0.8542043417692184
0,also referred,,0.0,"0.2338, 0.2338, 0.2338, 0.1101, 0.1884",0.8411193042993546
0,last child node,,0.0,"0.2400, 0.2400, 0.0624, 0.2165, 0.2410",0.9464983567595482
0,collectively make,,0.0,"0.2333, 0.2333, 0.2333, 0.1607, 0.1392",0.9134660735726357
0,decentralized system composed,,0.0,"0.2426, 0.2426, 0.2372, 0.2142, 0.0633",0.7082407772541046
0,also written,,0.0,"0.2343, 0.2343, 0.2343, 0.0699, 0.2272",0.7658667713403702
0,undamped pendulum,,0.3145313858985901,"0.2026, 0.2026, 0.2026, 0.1852, 0.2068",0.918907880783081
0,various stages,,0.0,"0.2176, 0.2176, 0.2176, 0.1063, 0.2408",0.7683585435152054
0,work proposes,,0.0,"0.2177, 0.2177, 0.2177, 0.2100, 0.1368",0.8615077883005142
0,directed edges often called arcs,,0.0,"0.2436, 0.2315, 0.1340, 0.1668, 0.2242",0.9821074232459068
0,structured svm minimizes,,0.24570885300636292,"0.2233, 0.2233, 0.2273, 0.1766, 0.1494",0.8152826279401779
0,appropriately restricted resources,,0.0,"0.2220, 0.2220, 0.1147, 0.2354, 0.2059",0.8153278827667236
0,emotional ability,,0.010732864961028099,"0.1729, 0.1729, 0.1729, 0.2413, 0.2401",0.9681383110582829
0,automated space docking,,0.40590396523475647,"0.2435, 0.2435, 0.1175, 0.1982, 0.1973",0.7565741240978241
0,luca cardelli,,0.007374532520771027,"0.2104, 0.2104, 0.2104, 0.1896, 0.1793",0.9385818839073181
0,mapping entirely determined,,0.0,"0.2433, 0.2433, 0.2307, 0.1361, 0.1466",0.8936409056186676
0,related problem,,0.0,"0.2392, 0.2392, 0.2392, 0.0557, 0.2267",0.781336098909378
0,generally designed,,0.0,"0.2162, 0.2162, 0.2162, 0.1872, 0.1643",0.7274066507816315
0,mathematical table used,,0.0,"0.2477, 0.2477, 0.2418, 0.2241, 0.0387",0.8015626668930054
0,typically evaluated,,0.0,"0.2093, 0.2093, 0.2093, 0.1861, 0.1859",0.736511766910553
0,publicly available implementations,,0.0,"0.2372, 0.2372, 0.1817, 0.1380, 0.2060",0.6951461732387543
0,relational quantum mechanics  international journal,,0.0,"0.1762, 0.2384, 0.2396, 0.2027, 0.1430",0.7307124137878418
